,team,teamkpm,dpm,wpm,vspm,gpm,cspm,dtpm,wcpm,dmpm
111,Immortals,0.3506595238095238,1707.6762595238094,3.5920476190476185,7.71637619047619,1069.9284357142858,32.846345238095246,2544.6952880952385,1.3975952380952381,2161.412033333333
112,Dignitas,0.39381860465116286,1772.8985674418607,3.0020953488372095,7.250611627906975,1082.305723255814,31.806695348837213,2812.742960465116,1.4953093023255812,2632.5613279069767
113,100 Thieves,0.4197701754385965,1849.3086087719298,3.3566333333333334,7.878842105263159,1167.3971877192982,33.107578947368424,2771.371010526316,1.5399368421052633,2437.3750754385965
114,ThunderTalk Gaming,0.3344033333333333,1797.8277433333335,3.2360666666666664,,1046.4410533333332,,3065.8972849999996,1.4702516666666665,
115,LNG Esports,0.40959523809523807,1839.04316984127,3.4477396825396833,,1125.6320063492064,,2768.406463492064,1.4894793650793652,
116,INTZ,0.35246,1752.7308200000002,3.534206666666667,7.4394833333333334,1048.67456,31.828066666666665,2766.9249166666655,1.4781033333333333,2335.992006666667
117,Rensga eSports,0.3660366666666667,1884.9996333333336,3.1899133333333345,7.191550000000001,1036.2386099999999,31.018956666666668,2818.9955766666662,1.4107033333333332,2309.573416666666
118,Flamengo Esports,0.5012971428571429,2047.8527742857148,3.5369914285714286,7.697897142857141,1167.2837657142857,32.11927428571428,2703.531162857143,1.47154,2469.5748999999996
119,NVision Esports,0.37796923076923067,1932.440223076923,3.0655,6.759607692307692,1028.6048653846153,30.307046153846155,2867.135980769231,1.0673653846153845,2449.906953846154
120,paiN Gaming,0.5031500000000001,1986.5744620000003,3.48213,7.602642,1189.346414,32.635456,3037.7689880000003,1.454016,2697.106076
121,MnM Gaming Academy,0.43268125,1835.00495,2.90295625,6.597125,1037.6992375,28.881443750000003,2965.7919125,1.1510937500000002,2520.9239187499998
122,London Esports,0.4566617647058823,1807.1849352941178,3.1044882352941183,6.899058823529411,1121.0809852941177,31.122697058823526,2678.8339176470586,1.1809441176470588,2552.9668558823523
123,Team Liquid,0.448489552238806,1982.7282970149254,3.094402985074627,7.610416417910448,1186.237123880597,33.58969104477612,2693.3588761194023,1.5120910447761196,2501.542843283582
124,Evil Geniuses,0.45119183673469393,1996.841069387755,3.3853061224489793,7.629606122448979,1144.1760693877552,32.26226734693878,2979.1416469387755,1.5020367346938777,2748.2191367346936
125,BLACKLIST,0.6076318181818182,2242.023227272727,2.8680727272727276,6.155431818181818,1080.3561136363637,28.095950000000002,3542.565931818182,0.9827999999999997,2739.1812909090913
126,DRX Challengers,0.42105714285714285,1866.3894571428568,3.4225514285714285,7.993222857142858,1162.7393028571428,33.83313428571429,2828.517048571429,1.7579714285714287,2477.35516
127,KT Rolster Challengers,0.39936562500000006,1769.940534375,3.652378125,7.758696875,1093.04185,32.268903125,2642.476853125,1.750971875,2335.672696875
128,Afreeca Freecs Challengers,0.3123724137931035,1726.1372379310346,3.466879310344827,7.362224137931034,1031.2554551724138,32.31932068965517,2621.9904655172413,1.5878275862068965,2363.4833896551727
129,Team Pinnacle,0.4413318681318681,1888.281620879121,3.2271076923076927,,1142.975768131868,32.78224285714286,2908.6979428571426,1.4587483516483515,
130,Fredit BRION Challengers,0.4273533333333333,1853.1005799999996,3.47236,7.44158,1073.7355533333334,30.290379999999992,2827.54618,1.5049866666666667,2448.6828299999997
131,T1 Challengers,0.51884,2007.5635257142858,3.2300228571428575,7.350605714285713,1190.63872,33.14967714285715,2803.5740685714286,1.629257142857143,2465.1682257142857
132,Gamespace Mediterranean College Esports,0.4474261904761904,1964.0931738095237,3.1756809523809526,7.020907142857143,1096.8073380952378,30.846261904761903,2979.926988095238,1.323492857142857,2725.772995238095
133,MAD Lions Madrid,0.3851625,1803.662625,3.4641062500000004,7.786984375,1111.083034375,32.604862499999996,2618.63283125,1.4900156249999998,2485.169559375
134,Team 7AM,0.4091473684210527,1884.170457894737,2.7531842105263156,5.883305263157895,1024.9788684210525,29.648778947368424,2815.860542105263,0.9620052631578948,2467.1834894736844
135,Enclave,0.417051724137931,1912.4122413793104,2.810768965517241,6.878420689655173,1092.860972413793,31.000982758620694,2811.6027241379315,1.182358620689655,2623.244272413794
136,BCN Squad,0.358760606060606,1877.1972878787878,2.9772424242424242,6.794857575757576,1035.8576242424242,30.931318181818177,2895.394760606061,1.3227030303030305,2622.2368484848485
137,Hive Athens EC,0.43738235294117644,1882.3966,2.7663058823529414,5.811494117647059,983.172188235294,28.852570588235295,2911.5740411764705,0.9154000000000001,2382.6270529411763
138,Barrage Academy,0.4315642857142857,1752.8724857142859,2.607971428571428,6.492171428571429,1054.445542857143,29.335328571428573,2662.4732214285714,1.2811214285714285,2421.259064285714
139,eMonkeyz,0.333840625,1662.940315625,2.9624156249999998,6.660275,1011.621165625,31.014287500000002,2655.465065625,1.208971875,2417.90165625
140,Team Phantasma,0.6155634146341463,2156.666897560975,2.9019463414634146,6.531902439024389,1188.9820512195122,30.391829268292685,2995.7763146341463,1.1574536585365853,2635.6226146341464
141,Demise,0.367645,1814.15061,2.5971350000000006,6.4308000000000005,1001.3505499999999,29.824654999999996,2936.580465,1.03398,2652.569375
142,Vodafone Giants.Spain,0.3447625,1864.3590749999998,3.3876975000000003,7.569017499999999,1095.6892524999998,32.49639,2754.2250225,1.4505875,2650.4041150000003
143,KRC Genk Esports,0.42334736842105264,1859.1721894736845,2.6570842105263157,6.009878947368421,1042.4648157894737,29.94426842105263,2930.878621052632,1.101136842105263,2496.4661
144,Movistar Riders,0.4625333333333333,1921.6985027777773,3.3504416666666668,7.273447222222221,1153.809486111111,32.62929166666666,2924.1909111111113,1.2883777777777778,2584.5099833333334
